year,method,mase,stock_name,period,depletion,autocorrS,autocorrR,num_yrs,log_sigmaR_full,log_sigmaR_test,regime_shift,detectable_SR,region
1,mean,1.833744805079751,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,mean,2.6108747373664287,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,mean,2.3253884418695274,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,mean,2.4681131924895228,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,mean,4.539253240120127,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,mean,4.270567827358137,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,mean,3.411363627156348,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
8,mean,4.2874527592699225,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
9,mean,4.233318020904471,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
10,mean,3.517619171422843,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
11,mean,2.9377165790527027,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
12,mean,3.5381631226092765,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
13,mean,3.022577440419054,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
14,mean,2.727927349904624,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
15,mean,2.708844680883055,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
16,mean,2.500109441709891,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
17,mean,2.4365462445392967,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
18,mean,2.497149335667064,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
19,mean,3.027719041036962,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,mean,2.879658060354447,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,mean,2.7080087436276883,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
22,mean,3.3108688898925203,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
23,mean,8.764448477001174,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
24,mean,2.991750969098908,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
25,mean,3.1439953381556554,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
1,AR(1),1.0486623782457545,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,AR(1),1.8881861768525399,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,AR(1),1.650899708116304,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,AR(1),1.5165955553917025,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,AR(1),3.1864803902845464,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,AR(1),2.6043782865384095,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,AR(1),2.237750414760821,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
8,AR(1),2.4826022692424408,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
9,AR(1),2.442134984314475,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
10,AR(1),2.1071766718883396,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
11,AR(1),1.9636844817239272,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
12,AR(1),1.9980102813777072,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
13,AR(1),1.879634454429222,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
14,AR(1),1.6715406362014584,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
15,AR(1),1.4108901935993612,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
16,AR(1),1.4102553022547357,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
17,AR(1),1.0954273597195907,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
18,AR(1),1.2221948075367235,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
19,AR(1),1.8108775704421987,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,AR(1),1.6454367682543862,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,AR(1),1.5152488692874808,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
22,AR(1),1.8776020487946694,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
23,AR(1),7.034259701912514,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
24,AR(1),6.99132314482096,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
25,AR(1),3.3527932609054223,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
1,Beverton-Holt,2.5126145775135904,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,Beverton-Holt,2.3781263345915096,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,Beverton-Holt,2.3927335002041974,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,Beverton-Holt,2.3983853704284206,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,Beverton-Holt,3.5888457282039203,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,Beverton-Holt,3.3735125622175652,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,Beverton-Holt,2.789580869248789,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
8,Beverton-Holt,3.308141118546456,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
9,Beverton-Holt,3.2675594137200994,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
10,Beverton-Holt,2.8506258457443567,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
11,Beverton-Holt,2.888020969388293,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
12,Beverton-Holt,2.9611040957247385,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
13,Beverton-Holt,2.9745864109328704,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
14,Beverton-Holt,3.3225237954258455,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
15,Beverton-Holt,3.4354954902707178,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
16,Beverton-Holt,3.829223641317762,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
17,Beverton-Holt,3.7571412249527394,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
18,Beverton-Holt,3.20189647611718,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
19,Beverton-Holt,2.727136622942298,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,Beverton-Holt,2.6819959060098,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,Beverton-Holt,2.59550625455333,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
22,Beverton-Holt,2.608980535900749,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
23,Beverton-Holt,7.301045706780638,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
24,Beverton-Holt,2.617768005577671,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
25,Beverton-Holt,4.54916513274019,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
1,simplex,2.349786577135066,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,simplex,2.6454194055765754,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,simplex,2.62751144775736,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,simplex,3.2883580272305406,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,simplex,4.269683508546686,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,simplex,4.367844476403905,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,simplex,4.056315599984244,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
8,simplex,4.4064316480204955,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
9,simplex,5.4436775822217776,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
10,simplex,4.630877824258579,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
11,simplex,5.373309539387812,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
12,simplex,3.7359412872551876,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
13,simplex,5.836510504848831,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
14,simplex,4.66754069821444,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
15,simplex,4.4090475511975376,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
16,simplex,3.8431920343399826,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
17,simplex,3.250795530431011,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
18,simplex,2.339315862127994,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
19,simplex,3.2170289869508752,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,simplex,3.8903368262387903,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,simplex,4.252213964233654,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
